,stck_bsop_date,stck_clpr,stck_hgpr,stck_lwpr,acml_vol,prdy_vrss,5,20,60,rsi,bb_upper,bb_middle,bb_lower
1376,20240722,255000,261500,251000,769457,-3500,263400.0,276575.0,265583.3333333333,35.042735042735046,298929.5856593228,276575.0,254220.4143406772
1377,20240723,263500,264500,257500,803042,8500,261200.0,275325.0,265766.6666666667,40.15748031496063,297668.39947277494,275325.0,252981.60052722506
1378,20240724,258500,263500,257500,608412,-5000,259200.0,273775.0,265908.3333333333,35.82089552238806,296270.49954990996,273775.0,251279.50045009
1379,20240725,251500,255000,247500,832753,-7000,257400.0,271450.0,265941.6666666667,29.078014184397162,293043.7490955137,271450.0,249856.25090448628
1380,20240726,243500,250500,232000,2662741,-8000,254400.0,268875.0,265808.3333333333,24.18300653594771,290899.70204111736,268875.0,246850.2979588826
1381,20240729,255500,260000,243000,1302271,12000,254500.0,267350.0,265883.3333333333,38.125,288631.68226433237,267350.0,246068.3177356676
1382,20240730,250000,258000,249500,594899,-5500,251800.0,266225.0,265900.0,35.67251461988304,288647.03157610836,266225.0,243802.96842389164
1383,20240731,249000,253500,247500,594919,-1000,249900.0,264875.0,266033.3333333333,32.121212121212125,288019.9238495183,264875.0,241730.0761504817
1384,20240801,253500,258500,251000,734315,4500,250300.0,263675.0,266225.0,38.75,286564.46264113684,263675.0,240785.53735886313
1385,20240802,244000,248000,242000,889521,-9500,250400.0,261825.0,266258.3333333333,35.838150289017335,284795.14366520155,261825.0,238854.85633479842
1386,20240805,224000,239500,216500,1465965,-20000,244100.0,258875.0,266041.6666666667,24.875621890547265,285129.2853644886,258875.0,232620.7146355114
1387,20240806,235000,241500,228000,1250180,11000,241100.0,256900.0,265933.3333333333,34.12322274881517,284081.97932454513,256900.0,229718.02067545484
1388,20240807,236000,241000,231500,756779,1000,238500.0,254975.0,265783.3333333333,37.56345177664974,282351.03879307595,254975.0,227598.96120692405
1389,20240808,236500,240000,228500,698685,500,235100.0,252875.0,265616.6666666667,38.659793814432994,279131.1897464198,252875.0,226618.81025358022
1390,20240809,243000,248000,240000,606967,6500,234900.0,251450.0,265550.0,44.0,276577.47500247485,251450.0,226322.52499752512
1391,20240812,243500,249000,242000,469844,500,238800.0,250200.0,265541.6666666667,39.130434782608695,274275.7139042646,250200.0,226124.28609573538
1392,20240813,243000,245500,240000,358474,-500,240400.0,248625.0,265416.6666666667,41.14285714285714,270118.8944819221,248625.0,227131.10551807794
1393,20240814,241000,248000,238500,500276,-2000,241400.0,247250.0,265216.6666666667,43.63636363636363,266923.5863532809,247250.0,227576.41364671913
1394,20240816,255000,256500,246500,1113073,14000,245100.0,246975.0,264850.0,56.49717514124294,266044.54378059425,246975.0,227905.45621940578
1395,20240819,255000,259500,250000,739313,0,247500.0,246800.0,264575.0,49.673202614379086,265504.0102651811,246800.0,228095.9897348189
1396,20240820,256000,261000,255000,660818,1000,250000.0,246850.0,264383.3333333333,54.166666666666664,265646.54223520914,246850.0,228053.4577647909
1397,20240821,252500,257500,251000,359513,-3500,251900.0,246300.0,264166.6666666667,52.34899328859059,263708.04411759117,246300.0,228891.95588240883
1398,20240822,248000,254000,245500,497250,-4500,253300.0,245775.0,263883.3333333333,46.308724832214764,262290.06887663505,245775.0,229259.93112336495
1399,20240823,252500,254000,245000,449189,4500,252800.0,245825.0,263741.6666666667,56.11510791366907,262414.9819168075,245825.0,229235.0180831925
1400,20240826,249500,258000,247500,469538,-3000,251700.0,246125.0,263616.6666666667,74.28571428571429,262752.9132785807,246125.0,229497.0867214193
1401,20240827,247500,251000,244500,555018,-2000,250000.0,245725.0,263525.0,64.36781609195403,261807.5215684606,245725.0,229642.4784315394
1402,20240828,259000,261000,246000,1170970,11500,251300.0,246175.0,263425.0,71.29629629629629,263187.5688830347,246175.0,229162.4311169653
