timestep,action,reward,current_date,stock_code,price,next_price,qty,current_amt,total_amt,order_qty,wait_see_rate,init_total_evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,net_income_rate,next_total_evlu_rate,next_day_evlu_rate,next_day_evlu_rate_exp,sharp_data,sortino_data,reward_log
49,0.1278341,-0.6340101087155595,20170502, 083650.csv,6100.0,6190.0,2831.0,38012163.0,55281263.0,896.0,-0.38286875563049566,0.8941433756805808,0.03339684431850491,-0.5601637467584981,-0.7917294068006636,8.322937779383706,0.3289709618874773,-0.5601637467584981,-0.0031329163751431244,-1.5292261469251347,-1.9005380627671484,buy
50,-0.46330783,-0.1627543278700549,20170504, 083650.csv,6190.0,5980.0,1520.0,45996133.0,55404933.0,1311.0,0.4608975739212037,0.3051415607985481,-0.5837819670948364,-0.2133769999948147,-0.2035960290137413,7.189918177015327,0.5534174228675136,0.247520573926389,0.0006124767046907786,-2.279385388325323,-2.870270043810897,sell
51,-0.27440444,0.0935512322239275,20170508, 083650.csv,5980.0,6010.0,1103.0,48573126.0,55169066.0,417.0,-0.5761219853835037,0.5457277676950998,0.2398543117061689,0.1580225448999401,0.11737567638850188,9.92926821109569,0.12534664246823957,-0.41809944048356357,-0.0017465444343700565,-1.983630383287155,-2.4754694109795206,sell
52,-0.16794023,-0.0003995945178860039,20170510, 083650.csv,6010.0,5890.0,918.0,49677610.0,55194790.0,185.0,0.05997926446679377,0.1220508166969147,-0.42137737764160943,-0.010058342180473537,-0.000505723315931017,9.523465548721234,0.17203266787658802,0.04992092228632023,2.4920674294048872e-05,-2.5429515023127824,-3.209090605391668,sell
53,0.01848419,-0.18976260108609977,20170511, 083650.csv,5890.0,5850.0,1070.0,48763961.0,55066261.0,152.0,-0.19958405494431627,0.17179854809437387,0.04968708790088323,-0.23263119597745152,-0.23706799477615792,11.100155327075687,-0.061232304900181486,-0.23263119597745152,-0.0005410263258670556,-2.5755443919266994,-3.220068786955402,buy
54,-0.33253145,0.002649422998151896,20170512, 083650.csv,5850.0,6060.0,715.0,50851479.0,55034229.0,355.0,-0.07772454352766026,-0.06746098003629764,-0.23884918869236282,0.0257838777111618,0.0033185232386255814,11.64533927618234,-0.11936660617059892,-0.051940665816498456,-2.697796374284689e-05,-2.89786790764055,-3.6501466308204007,sell
55,0.5663165,0.8090407100081791,20170515, 083650.csv,6060.0,6360.0,5636.0,22059542.0,56213702.0,4921.0,0.27283020536183034,-0.12678402903811253,-0.059363095928107866,1.8779183789322096,0.9999999780145988,10.618522817419581,2.0212377495462794,2.15074858429404,0.04520363798249971,-2.9760855040758294,-3.7572769014905076,buy
56,-0.33907863,-0.7878039483185868,20170516, 083650.csv,6360.0,6500.0,3725.0,33621188.0,57312188.0,1911.0,3.0078075982257846,1.9867295825771327,2.116196610940964,-1.0191854708104675,-0.9944485444234017,8.087258444128732,4.014860254083485,1.988622127415317,0.038774436100673215,-0.3692289689877929,-0.4887858210880203,sell
57,0.1307859,0.10854873039010446,20170517, 083650.csv,6500.0,6420.0,4416.0,29225804.0,57929804.0,691.0,0.909928617626673,4.0137277676951,1.9875117021737003,0.1688065570057975,0.1327936001652641,7.096544749297179,5.135760435571688,1.0787351746324705,0.011569251289465954,1.943824043253577,2.66381116968659,buy
58,-0.18194637,0.0471481906071956,20170518, 083650.csv,6420.0,6480.0,3613.0,34436734.0,57632194.0,803.0,-0.6098415247529578,5.120206896551724,1.0637818224608213,0.11081900738048611,0.059557022425522965,7.76305420830904,4.595633393829401,-0.4990225173724717,-0.002487136666113887,3.2518396754899834,4.465597595704546,sell
