timestep,action,reward,current_date,stock_code,price,next_price,wait_see_rate,evlu_rate,daily_evlu_rate,rate_reward,rate_reward_exp,next_total_evlu_rate,next_total_evlu_rate_exp,net_income_rate,net_income_rate_exp,next_day_evlu_rate,next_day_evlu_rate_exp,unrealized_gain_loss,unrealized_gain_loss_exp,sharp_data,sortino_data,reward_log
147,0.20758104,0.7979999993708244,20200923,datas,266000.0,250000.0,-8.135838087513319,53.24312549019608,-2.9979800035869677,2.562226584050041,0.9999999999999944,44.701949019607845,0.9999999979027575,-3.2270450632323886,-0.01,-5.573611503463278,-0.01,-19.360000000000003,-0.01,15.627176967955844,26.485507737457777,buy
148,-0.015257567,0.7266874099709637,20200924,datas,250000.0,258500.0,-2.941628293494508,52.292396078431366,-0.6204059129722788,0.6241049925358593,0.8573748199702004,48.76298431372549,0.9999999999528782,-4.195595567931321,-0.01,-2.3175233009586487,-0.01,10.200000000000001,0.6466866716413987,15.390753331117578,26.14169894329859,sell
149,0.06320651,0.7979999999326709,20200925,datas,258500.0,255000.0,-3.3990341747393513,44.76284705882353,-4.944139834617932,5.037955395074133,1.0,47.13539607843138,0.9999999997755696,-3.7521778860656667,-0.01,1.6389212203347812,0.026503089392240775,-4.235,-0.01,13.049341880012287,21.978672300269118,buy
150,0.18076283,0.29299999997795867,20200928,datas,255000.0,257500.0,2.458381830502171,48.795607843137255,2.7857705663076913,-2.7878244031271273,-0.01,48.30541176470588,0.9999999999265289,-4.061452140619565,-0.01,-0.32944257262495624,-0.01,3.1250000000000004,0.09303938211261642,14.283993524217905,24.022814597801013,buy
151,0.08035998,0.7973266739571703,20200929,datas,257500.0,254500.0,-1.317770290499825,47.07978039215686,-1.153143883648263,1.1497942282085418,0.9986533480932998,46.83272156862745,0.9999999997017348,-3.7589944077039164,-0.01,-0.16797606229128306,-0.01,-3.7800000000000002,-0.01,13.801985748523373,23.29345420275707,buy
152,0.066681474,0.2929999999828418,20201005,datas,254500.0,258000.0,1.0078563737476984,48.31493333333333,0.839784325135106,-0.8399571593891056,-0.01,48.56395294117647,0.9999999999428062,-4.098768952314657,-0.01,0.16789921435859276,0.0002818617313387062,4.445,0.17928572433569367,14.205911413981411,23.89870572807452,buy
153,0.0637283,0.795849514076578,20201006,datas,258000.0,260500.0,1.0073952861515565,46.82067450980392,-1.0074904731077283,1.043926651945958,0.9956990281630062,49.83243921568628,0.9999999999835832,-4.309572618633247,-0.01,2.0513219380975145,0.04120617514617797,3.2,0.09733158791905794,13.774590233404346,23.2457525622859,buy
154,-0.04081726,0.2929999999974758,20201007,datas,260500.0,262000.0,2.5641524226218926,48.56923137254902,1.190947302607807,-1.2654906829863615,-0.01,50.49864313725491,0.9999999999915861,-4.53094266156166,-0.01,1.298661739635531,0.016723801416573036,1.8450000000000002,0.033467399082612426,14.348780825310005,24.142204769257404,sell
155,0.14254034,0.2929999999999942,20201008,datas,262000.0,273500.0,5.0323142410876835,49.77468235294118,0.8113732360702558,-0.7435190249324046,-0.01,56.19821176470589,0.9999999999999808,-5.6361077619213376,-0.01,4.288795216155279,0.16801231841780317,14.490000000000002,0.8774947018832557,14.75973050944822,24.75579181732777,buy
156,0.23745747,0.29299999999997417,20201012,datas,273500.0,270500.0,3.2990732431963683,50.51527843137254,0.4944734762889846,-0.4200742615022164,-0.01,54.84861176470588,0.999999999999914,-5.210559832927252,-0.01,2.878998981694152,0.07954425018529787,-3.9000000000000004,-0.01,15.03110053068334,25.13078359737502,buy
